County,Event_Type,Year,Month,Time_Index,Predicted_Event_Count,Predicted_Average_Magnitude
LIMESTONE,HAIL,2028,7,883,0.33,1.23
LIMESTONE,HAIL,2028,8,884,0.33,1.23
LIMESTONE,HAIL,2028,9,885,0.33,1.23
LIMESTONE,HAIL,2028,10,886,0.33,1.23
LIMESTONE,HAIL,2028,11,887,0.34,1.23
LIMESTONE,HAIL,2028,12,888,0.34,1.23
LIMESTONE,HAIL,2029,1,889,0.34,1.23
LIMESTONE,HAIL,2029,2,890,0.34,1.23
LIMESTONE,HAIL,2029,3,891,0.34,1.23
LIMESTONE,HAIL,2029,4,892,0.34,1.23
LIMESTONE,HAIL,2029,5,893,0.34,1.23
LIMESTONE,HAIL,2029,6,894,0.34,1.23
LIMESTONE,HAIL,2029,7,895,0.34,1.23
LIMESTONE,HAIL,2029,8,896,0.34,1.23
LIMESTONE,HAIL,2029,9,897,0.34,1.23
LIMESTONE,HAIL,2029,10,898,0.34,1.23
LIMESTONE,HAIL,2029,11,899,0.34,1.23
LIMESTONE,HAIL,2029,12,900,0.34,1.23
LIPSCOMB,HAIL,2025,1,841,1.03,1.25
LIPSCOMB,HAIL,2025,2,842,1.03,1.25
LIPSCOMB,HAIL,2025,3,843,1.03,1.25
LIPSCOMB,HAIL,2025,4,844,1.04,1.25
LIPSCOMB,HAIL,2025,5,845,1.04,1.25
LIPSCOMB,HAIL,2025,6,846,1.04,1.25
LIPSCOMB,HAIL,2025,7,847,1.04,1.25
LIPSCOMB,HAIL,2025,8,848,1.04,1.25
LIPSCOMB,HAIL,2025,9,849,1.04,1.25
LIPSCOMB,HAIL,2025,10,850,1.04,1.25
LIPSCOMB,HAIL,2025,11,851,1.04,1.25
LIPSCOMB,HAIL,2025,12,852,1.05,1.25
LIPSCOMB,HAIL,2026,1,853,1.05,1.25
LIPSCOMB,HAIL,2026,2,854,1.05,1.25
LIPSCOMB,HAIL,2026,3,855,1.05,1.25
LIPSCOMB,HAIL,2026,4,856,1.05,1.25
LIPSCOMB,HAIL,2026,5,857,1.05,1.25
LIPSCOMB,HAIL,2026,6,858,1.05,1.25
LIPSCOMB,HAIL,2026,7,859,1.06,1.25
LIPSCOMB,HAIL,2026,8,860,1.06,1.25
LIPSCOMB,HAIL,2026,9,861,1.06,1.25
LIPSCOMB,HAIL,2026,10,862,1.06,1.25
LIPSCOMB,HAIL,2026,11,863,1.06,1.25
LIPSCOMB,HAIL,2026,12,864,1.06,1.25
LIPSCOMB,HAIL,2027,1,865,1.06,1.25
LIPSCOMB,HAIL,2027,2,866,1.07,1.25
LIPSCOMB,HAIL,2027,3,867,1.07,1.25
LIPSCOMB,HAIL,2027,4,868,1.07,1.25
LIPSCOMB,HAIL,2027,5,869,1.07,1.25
LIPSCOMB,HAIL,2027,6,870,1.07,1.25
LIPSCOMB,HAIL,2027,7,871,1.07,1.25
LIPSCOMB,HAIL,2027,8,872,1.07,1.25
LIPSCOMB,HAIL,2027,9,873,1.08,1.25
LIPSCOMB,HAIL,2027,10,874,1.08,1.25
LIPSCOMB,HAIL,2027,11,875,1.08,1.25
LIPSCOMB,HAIL,2027,12,876,1.08,1.25
LIPSCOMB,HAIL,2028,1,877,1.08,1.25
LIPSCOMB,HAIL,2028,2,878,1.08,1.25
LIPSCOMB,HAIL,2028,3,879,1.08,1.25
LIPSCOMB,HAIL,2028,4,880,1.09,1.25
LIPSCOMB,HAIL,2028,5,881,1.09,1.25
LIPSCOMB,HAIL,2028,6,882,1.09,1.25
LIPSCOMB,HAIL,2028,7,883,1.09,1.25
LIPSCOMB,HAIL,2028,8,884,1.09,1.25
LIPSCOMB,HAIL,2028,9,885,1.09,1.25
LIPSCOMB,HAIL,2028,10,886,1.09,1.25
LIPSCOMB,HAIL,2028,11,887,1.1,1.25
LIPSCOMB,HAIL,2028,12,888,1.1,1.25
LIPSCOMB,HAIL,2029,1,889,1.1,1.25
LIPSCOMB,HAIL,2029,2,890,1.1,1.25
LIPSCOMB,HAIL,2029,3,891,1.1,1.25
LIPSCOMB,HAIL,2029,4,892,1.1,1.25
LIPSCOMB,HAIL,2029,5,893,1.1,1.25
LIPSCOMB,HAIL,2029,6,894,1.11,1.25
LIPSCOMB,HAIL,2029,7,895,1.11,1.25
LIPSCOMB,HAIL,2029,8,896,1.11,1.25
LIPSCOMB,HAIL,2029,9,897,1.11,1.25
LIPSCOMB,HAIL,2029,10,898,1.11,1.25
LIPSCOMB,HAIL,2029,11,899,1.11,1.25
LIPSCOMB,HAIL,2029,12,900,1.11,1.25
LIVE OAK,HAIL,2025,1,841,0.2,1.12
LIVE OAK,HAIL,2025,2,842,0.2,1.12
LIVE OAK,HAIL,2025,3,843,0.2,1.12
LIVE OAK,HAIL,2025,4,844,0.2,1.12
LIVE OAK,HAIL,2025,5,845,0.2,1.12
LIVE OAK,HAIL,2025,6,846,0.2,1.12
LIVE OAK,HAIL,2025,7,847,0.2,1.12
LIVE OAK,HAIL,2025,8,848,0.2,1.12
LIVE OAK,HAIL,2025,9,849,0.2,1.12
LIVE OAK,HAIL,2025,10,850,0.2,1.12
LIVE OAK,HAIL,2025,11,851,0.2,1.12
LIVE OAK,HAIL,2025,12,852,0.2,1.12
LIVE OAK,HAIL,2026,1,853,0.2,1.12
LIVE OAK,HAIL,2026,2,854,0.2,1.12
LIVE OAK,HAIL,2026,3,855,0.2,1.12
LIVE OAK,HAIL,2026,4,856,0.2,1.11
LIVE OAK,HAIL,2026,5,857,0.2,1.11
LIVE OAK,HAIL,2026,6,858,0.2,1.11
LIVE OAK,HAIL,2026,7,859,0.2,1.11
LIVE OAK,HAIL,2026,8,860,0.2,1.11
LIVE OAK,HAIL,2026,9,861,0.2,1.11
LIVE OAK,HAIL,2026,10,862,0.2,1.11
LIVE OAK,HAIL,2026,11,863,0.2,1.11
LIVE OAK,HAIL,2026,12,864,0.2,1.11
LIVE OAK,HAIL,2027,1,865,0.2,1.11
LIVE OAK,HAIL,2027,2,866,0.2,1.11
LIVE OAK,HAIL,2027,3,867,0.2,1.11
LIVE OAK,HAIL,2027,4,868,0.2,1.11
LIVE OAK,HAIL,2027,5,869,0.2,1.11
LIVE OAK,HAIL,2027,6,870,0.2,1.11
LIVE OAK,HAIL,2027,7,871,0.2,1.11
LIVE OAK,HAIL,2027,8,872,0.2,1.11
LIVE OAK,HAIL,2027,9,873,0.2,1.11
LIVE OAK,HAIL,2027,10,874,0.2,1.11
LIVE OAK,HAIL,2027,11,875,0.21,1.11
LIVE OAK,HAIL,2027,12,876,0.21,1.11
LIVE OAK,HAIL,2028,1,877,0.21,1.11
LIVE OAK,HAIL,2028,2,878,0.21,1.11
LIVE OAK,HAIL,2028,3,879,0.21,1.11
LIVE OAK,HAIL,2028,4,880,0.21,1.11
LIVE OAK,HAIL,2028,5,881,0.21,1.11
LIVE OAK,HAIL,2028,6,882,0.21,1.11
LIVE OAK,HAIL,2028,7,883,0.21,1.11
LIVE OAK,HAIL,2028,8,884,0.21,1.11
LIVE OAK,HAIL,2028,9,885,0.21,1.11
LIVE OAK,HAIL,2028,10,886,0.21,1.11
LIVE OAK,HAIL,2028,11,887,0.21,1.11
LIVE OAK,HAIL,2028,12,888,0.21,1.11
LIVE OAK,HAIL,2029,1,889,0.21,1.11
LIVE OAK,HAIL,2029,2,890,0.21,1.11
LIVE OAK,HAIL,2029,3,891,0.21,1.11
LIVE OAK,HAIL,2029,4,892,0.21,1.11
LIVE OAK,HAIL,2029,5,893,0.21,1.11
LIVE OAK,HAIL,2029,6,894,0.21,1.11
LIVE OAK,HAIL,2029,7,895,0.21,1.11
LIVE OAK,HAIL,2029,8,896,0.21,1.11
LIVE OAK,HAIL,2029,9,897,0.21,1.11
LIVE OAK,HAIL,2029,10,898,0.21,1.11
LIVE OAK,HAIL,2029,11,899,0.21,1.11
LIVE OAK,HAIL,2029,12,900,0.21,1.11
